blind_id,run_id,policy_id,model_family,prompt_strategy,prompt_set,strategy,corpus,flesch_reading_ease,word_compression_ratio,gemini_support_rate,gemini_weighted_alignment,coverage_weighted_rate,omission_rate,distortion_rate,hallucination_rate,minicheck_mean_probability
S380,31e5beae-f5fd-47ac-978e-11557a45cb6e,OPP06,llama,safety_focused_structured,safety_focused,structured,OPP-115,18.58,0.0673,1.0,1.0,0.4102564102564102,0.5384615384615384,0.0,0.0,0.9732156693935394
S117,704063e1-0d80-4f03-9c5d-f8bc58006af0,OPP06,mistral,basic_direct,basic,direct,OPP-115,38.46,0.1011,1.0,1.0,0.5512820512820513,0.282051282051282,0.0,0.0,0.8950438920189353
S238,c31c9489-b473-42f2-9159-92673ba62cec,OPP06,mistral,basic_role_guided,basic,role_guided,OPP-115,41.33,0.0943,0.9444444444444444,0.9444444444444444,0.6410256410256411,0.3333333333333333,0.0,0.05555555555555555,0.8842504703336291
S055,11c6957e-afd4-4ec1-a4de-805efb20f5f3,OPP06,mistral,basic_structured,basic,structured,OPP-115,44.25,0.1124,0.7916666666666666,0.8958333333333334,0.6666666666666666,0.3333333333333333,0.20833333333333334,0.0,0.8180091455578804
S140,81df39dd-a8ef-4922-8b7c-89c3c004ad99,OPP06,mistral,safety_focused_direct,safety_focused,direct,OPP-115,33.33,0.1011,0.9523809523809523,0.9523809523809523,0.5641025641025641,0.4102564102564102,0.0,0.047619047619047616,0.8596787750720978
S325,074100c5-bcb4-4347-bfb8-739f53b7afb9,OPP06,mistral,safety_focused_role_guided,safety_focused,role_guided,OPP-115,48.36,0.1353,0.9285714285714286,0.9464285714285714,0.6282051282051282,0.3333333333333333,0.03571428571428571,0.03571428571428571,0.8304449865328414
S363,746b540e-fdbf-4b35-862d-fb69e7573c05,OPP06,mistral,safety_focused_structured,safety_focused,structured,OPP-115,33.22,0.09,0.95,0.975,0.6923076923076923,0.3076923076923077,0.05,0.0,0.9055269395932555
S054,0ebebe77-b4ae-4b48-bbfd-c9c0f1036f2f,OPP07,gpt,basic_direct,basic,direct,OPP-115,39.32,0.2939,1.0,1.0,0.88,0.08,0.0,0.0,0.7439937790855765
S236,1e6cfb05-d439-4780-8649-2f2aab284a1b,OPP07,gpt,basic_role_guided,basic,role_guided,OPP-115,37.89,0.3058,1.0,1.0,0.84,0.08,0.0,0.0,0.747408402829685
S182,2230942b-00c1-4f71-a7f5-714a67132146,OPP07,gpt,basic_structured,basic,structured,OPP-115,40.52,0.3388,1.0,1.0,0.92,0.08,0.0,0.0,0.6858707463935666
S132,2e5f1556-243e-4865-814d-d864ce40ba8f,OPP07,gpt,safety_focused_direct,safety_focused,direct,OPP-115,31.66,0.518,1.0,1.0,1.0,0.0,0.0,0.0,0.6930486624760013
S321,0565e4af-05e1-4a3a-9d59-6e9ffee87c18,OPP07,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,37.12,0.5397,1.0,1.0,0.98,0.0,0.0,0.0,0.7391397258033976
S465,08b3768c-8cde-4b38-b6d8-d1098aab3bdc,OPP07,gpt,safety_focused_structured,safety_focused,structured,OPP-115,33.01,0.5037,1.0,1.0,1.0,0.0,0.0,0.0,0.7374905709537768
